District Name,District Code,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,Free Lunch #,Free Lunch %,Reduced Lunch #,Reduced Lunch %,High Needs #,High Needs #,Economically Disadvantaged #,Economically Disadvantaged %
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,200,50.6,53,13.4,89,22.5,323,81.8,,,,,351,88.9,,
Erving,00910000,1,0.8,1,0.8,29,21.6,62,46.6,,,,,79,59,,
Essex North Shore Agricultural and Technical School District,08170000,97,5.9,7,0.4,293,17.7,402,24.3,,,,,644,38.9,,
Everett,00930000,4614,67.7,2125,31.2,1232,17.9,5066,74.4,,,,,5867,85.1,,
Excel Academy Charter (District),04100000,776,56.8,156,11.4,268,19.6,959,70.3,,,,,1104,80.9,,
Fairhaven,00940000,66,3.6,22,1.2,299,16.1,758,41.1,,,,,913,49,,
Fall River,00950000,3123,30.4,1975,19.2,2414,23.3,8390,81.7,,,,,9007,86.9,,
Falmouth,00960000,253,8.3,137,4.5,617,20.1,1254,41.2,,,,,1574,51.2,,
Farmington River Reg,06620000,0,0,0,0,28,24.1,57,49.1,,,,,65,56,,
Fitchburg,00970000,1920,37,873,16.8,1285,24.2,3900,75.2,,,,,4362,82.2,,
Florida,00980000,0,0,0,0,20,19.2,58,55.8,,,,,67,64.4,,
Four Rivers Charter Public (District),04130000,0,0,0,0,32,14.7,75,34.4,,,,,91,41.7,,
Foxborough,00990000,128,5.2,56,2.3,506,20.4,565,23,,,,,950,38.2,,
Foxborough Regional Charter (District),04460000,292,17.3,123,7.3,164,9.7,747,44.2,,,,,917,54.3,,
Framingham,01000000,4451,50.4,2611,29.6,1941,21.5,4848,54.9,,,,,6162,68.3,,
Francis W. Parker Charter Essential (District),04780000,10,2.6,0,0,57,14.8,49,12.7,,,,,98,25.4,,
Franklin,01010000,344,7.2,83,1.7,892,18.4,704,14.8,,,,,1445,29.9,,
Franklin County Regional Vocational Technical,08180000,3,0.5,2,0.3,148,25.4,270,46.3,,,,,348,59.7,,
Freetown-Lakeville,06650000,57,2.1,33,1.2,475,17,714,25.9,,,,,1025,36.7,,
Frontier,06700000,17,2.8,2,0.3,118,19,174,28.5,,,,,239,38.5,,
Gardner,01030000,250,11.1,141,6.3,475,21,1506,66.9,,,,,1645,72.7,,
Gateway,06720000,26,3.5,11,1.5,174,23.6,336,45.8,,,,,423,57.4,,
Georgetown,01050000,21,1.6,0,0,246,19,192,15,,,,,386,29.9,,
Gill-Montague,06740000,86,10.2,55,6.5,231,27,509,60.2,,,,,594,69.3,,
Global Learning Charter Public (District),04960000,221,43.8,49,9.7,59,11.7,362,71.8,,,,,399,79.2,,
Gloucester,01070000,341,12,238,8.4,729,25.4,1368,48.3,,,,,1731,60.3,,
Gosnold,01090000,0,0,0,0,0,0,0,0,,,,,0,0,,
Grafton,01100000,138,4.4,77,2.5,596,18.8,611,19.5,,,,,1063,33.6,,
Granby,01110000,48,6.9,26,3.7,140,19.9,251,36,,,,,319,45.4,,
Greater Commonwealth Virtual District,39010000,81,7.9,18,1.7,232,22.5,594,57.7,,,,,680,66,,
Greater Fall River Regional Vocational Technical,08210000,116,8.2,18,1.3,146,10.3,704,49.5,,,,,780,54.9,,
Greater Lawrence Regional Vocational Technical,08230000,567,34.3,135,8.2,239,14.4,1168,70.6,,,,,1304,78.8,,
Greater Lowell Regional Vocational Technical,08280000,563,24.5,210,9.1,381,16.6,1334,58,,,,,1574,68.4,,
Greater New Bedford Regional Vocational Technical,08250000,386,18.3,99,4.7,226,10.7,1122,53.2,,,,,1275,60.4,,
Greenfield,01140000,137,8.5,77,4.8,333,20.4,1026,64,,,,,1122,68.9,,
Groton-Dunstable,06730000,60,2.6,28,1.2,370,15.8,266,11.5,,,,,595,25.4,,
Hadley,01170000,27,5.3,19,3.7,79,15.5,146,28.7,,,,,198,38.7,,
Halifax,01180000,9,1.6,4,0.7,108,18.6,147,26.1,,,,,227,39,,
Hamilton-Wenham,06750000,45,2.7,16,1,334,19.4,179,10.6,,,,,474,27.5,,
Hampden Charter School of Science East (District),04990000,42,7.6,27,4.9,60,10.8,356,64.3,,,,,380,68.6,,
Hampden Charter School of Science West (District),35160000,51,13.9,31,8.4,65,17.7,231,62.8,,,,,258,70.1,,
Hampden-Wilbraham,06800000,99,3.4,37,1.3,486,16.7,675,23.4,,,,,1003,34.4,,
Hampshire,06830000,19,2.8,13,1.9,157,22.5,145,21.2,,,,,248,35.6,,
Hancock,01210000,1,1.8,0,0,12,21.1,20,35.1,,,,,25,43.9,,
Hanover,01220000,106,4.1,32,1.2,530,20.2,286,11,,,,,743,28.3,,
Harvard,01250000,57,5.6,7,0.7,118,11.2,85,8.3,,,,,208,19.8,,
Hatfield,01270000,5,1.3,1,0.3,106,26.9,93,23.8,,,,,164,41.6,,
Haverhill,01280000,1634,21.1,786,10.2,1794,22.9,4855,62.7,,,,,5532,70.8,,
Hawlemont,06850000,6,4.9,6,4.9,32,26,65,52.8,,,,,74,60.2,,
